Source,Target,Value
1011100,1031111,6
1011101,1011110,6
1011101,1021100,6
1011101,1021110,6
1011101,1031100,6
1011101,1031110,6
1011110,1020110,6
1011110,1020111,6
1011110,1021100,6
1011110,1021101,6
1011110,1030110,6
1011110,1030111,6
1011110,1031100,6
1011110,1031101,6
1011111,1020110,6
1011111,1021011,6
1011111,1021100,6
1011111,1030110,6
1011111,1031011,6
1011111,1031100,6
1011111,1610111,6
1011111,1611111,6
1011111,1620111,6
1011111,1621111,6
1011111,1630111,6
1011111,1631111,6
1020110,1020111,6
1020110,1021110,6
1020110,1021111,6
1020110,1030110,6
1020110,1030111,6
1020110,1031110,6
1020110,1031111,6
1020111,1021110,6
1020111,1030110,6
1020111,1031110,6
1020111,1610111,6
1020111,1611111,6
1020111,1620111,6
1020111,1621111,6
1020111,1630111,6
1020111,1631111,6
1021011,1021111,6
1021011,1031011,6
1021011,1031111,6
1021100,1021101,6
1021100,1021110,6
1021100,1021111,6
1021100,1031100,6
1021100,1031101,6
1021100,1031110,6
1021100,1031111,6
1021101,1021110,6
1021101,1031100,6
1021101,1031110,6
1021110,1030110,6
1021110,1030111,6
1021110,1031100,6
1021110,1031101,6
1021111,1030110,6
1021111,1031011,6
1021111,1031100,6
1021111,1610111,6
1021111,1611111,6
1021111,1620111,6
1021111,1621111,6
1021111,1630111,6
1021111,1631111,6
1030110,1030111,6
1030110,1031110,6
1030110,1031111,6
1030111,1031110,6
1030111,1610111,6
1030111,1611111,6
1030111,1620111,6
1030111,1621111,6
1030111,1630111,6
1030111,1631111,6
1031011,1031111,6
1031100,1031101,6
1031100,1031110,6
1031100,1031111,6
1031101,1031110,6
1031111,1610111,6
1031111,1611111,6
1031111,1620111,6
1031111,1621111,6
1031111,1630111,6
1031111,1631111,6
1111011,1111111,6
1131011,1131111,6
1210111,1220111,6
1210111,1221111,6
1211111,1220111,6
1211111,1221111,6
1220011,1220111,6
1220011,1221011,6
1220011,1221111,6
1220110,1220111,6
1220110,1221110,6
1220110,1221111,6
1220111,1221011,6
1220111,1221110,6
1220111,1520111,6
1220111,1521111,6
1221011,1221111,6
1221110,1221111,6
1221111,1520111,6
1221111,1521111,6
1230011,1230111,6
1230011,1231011,6
1230011,1231111,6
1230110,1230111,6
1230110,1231110,6
1230110,1231111,6
1230111,1231011,6
1230111,1231110,6
1231011,1231111,6
1231110,1231111,6
1510011,1520011,6
1510011,1520111,6
1510011,1521011,6
1510011,1521111,6
1510110,1510111,6
1510110,1511110,6
1510110,1511111,6
1510110,1530110,6
1510110,1530111,6
1510110,1531110,6
1510110,1531111,6
1510111,1511110,6
1510111,1520011,6
1510111,1521011,6
1510111,1530110,6
1510111,1531110,6
1511011,1520011,6
1511011,1520111,6
1511011,1521011,6
1511011,1521111,6
1511110,1511111,6
1511110,1530110,6
1511110,1530111,6
1511110,1531110,6
1511110,1531111,6
1511111,1520011,6
1511111,1521011,6
1511111,1530110,6
1511111,1531110,6
1520011,1530011,6
1520011,1530111,6
1520011,1531011,6
1520011,1531111,6
1520111,1530011,6
1520111,1531011,6
1521011,1530011,6
1521011,1530111,6
1521011,1531011,6
1521011,1531111,6
1521110,1521111,6
1521111,1530011,6
1521111,1531011,6
1530110,1530111,6
1530110,1531110,6
1530110,1531111,6
1530111,1531110,6
1531010,1531011,6
1531010,1531110,6
1531010,1531111,6
1531011,1531110,6
1611110,1611111,6
1611110,1621110,6
1611110,1621111,6
1611110,1631110,6
1611110,1631111,6
1611111,1621110,6
1611111,1631110,6
1621110,1621111,6
1621110,1631110,6
1621110,1631111,6
1621111,1631110,6
1631110,1631111,6
1810001,1810011,6
1810001,1810101,6
1810001,1810111,6
1810001,1811001,6
1810001,1811011,6
1810001,1811101,6
1810001,1811111,6
1810011,1810101,6
1810011,1811001,6
1810011,1811101,6
1810101,1811001,6
1810101,1811011,6
1810101,1820101,6
1810101,1820111,6
1810101,1821101,6
1810101,1821111,6
1810111,1811001,6
1810111,1820101,6
1810111,1821101,6
1810111,1830111,6
1810111,1831111,6
1811011,1831011,6
1811011,1831111,6
1811101,1820101,6
1811101,1820111,6
1811101,1821101,6
1811101,1821111,6
1811111,1820101,6
1811111,1821101,6
1811111,1830111,6
1811111,1831011,6
1820101,1820111,6
1820101,1821101,6
1820101,1821111,6
1820111,1821101,6
1820111,1830111,6
1820111,1831111,6
1821101,1821111,6
1821111,1830111,6
1821111,1831111,6
1830011,1830111,6
1830011,1831011,6
1830011,1831111,6
1830111,1831011,6
1831101,1831111,6
1910011,1930011,6
1910011,1930111,6
1910011,1931011,6
1910011,1931111,6
1910111,1930011,6
1910111,1931011,6
1911010,1911011,6
1911010,1911110,6
1911010,1911111,6
1911010,1921010,6
1911010,1921011,6
1911010,1921110,6
1911010,1921111,6
1911010,1931010,6
1911010,1931011,6
1911010,1931110,6
1911010,1931111,6
1911011,1911110,6
1911011,1921010,6
1911011,1921110,6
1911011,1930011,6
1911011,1930111,6
1911011,1931010,6
1911011,1931110,6
1911110,1921010,6
1911110,1921011,6
1911110,1931010,6
1911110,1931011,6
1911110,9731110,6
1911110,9731111,6
1911111,1921010,6
1911111,1930011,6
1911111,1931010,6
1911111,9211111,6
1911111,9221111,6
1911111,9231111,6
1911111,9731110,6
1911111,9731111,6
1920011,1930011,6
1920011,1930111,6
1920011,1931011,6
1920011,1931111,6
1920111,1930011,6
1920111,1931011,6
1921010,1921011,6
1921010,1921110,6
1921010,1921111,6
1921010,1931010,6
1921010,1931011,6
1921010,1931110,6
1921010,1931111,6
1921011,1921110,6
1921011,1930011,6
1921011,1930111,6
1921011,1931010,6
1921011,1931110,6
1921110,1931010,6
1921110,1931011,6
1921110,9731110,6
1921110,9731111,6
1921111,1930011,6
1921111,1931010,6
1921111,9211111,6
1921111,9221111,6
1921111,9231111,6
1921111,9731110,6
1921111,9731111,6
1930010,1930011,6
1930010,1930110,6
1930010,1930111,6
1930010,1931010,6
1930010,1931011,6
1930010,1931110,6
1930010,1931111,6
1930011,1930110,6
1930011,1931010,6
1930011,1931110,6
1930110,1931010,6
1930110,1931011,6
1930111,1931010,6
1931110,9221110,6
1931110,9221111,6
1931110,9711110,6
1931110,9711111,6
1931110,9721110,6
1931110,9721111,6
1931110,9731110,6
1931110,9731111,6
1931111,9221110,6
1931111,9221111,6
1931111,9711110,6
1931111,9711111,6
1931111,9721110,6
1931111,9721111,6
1931111,9731110,6
1931111,9731111,6
2110111,2111111,6
2110111,2120111,6
2110111,2121111,6
2110111,2130111,6
2110111,2131111,6
2111100,2111101,6
2111100,2111110,6
2111100,2111111,6
2111100,2121100,6
2111100,2121101,6
2111100,2121110,6
2111100,2121111,6
2111100,2131100,6
2111100,2131101,6
2111100,2131110,6
2111100,2131111,6
2111101,2111110,6
2111101,2121100,6
2111101,2121110,6
2111101,2131100,6
2111101,2131110,6
2111110,2121100,6
2111110,2121101,6
2111110,2131100,6
2111110,2131101,6
2111111,2120111,6
2111111,2121100,6
2111111,2130111,6
2111111,2131100,6
2120111,2121111,6
2120111,2130111,6
2120111,2131111,6
2121100,2121101,6
2121100,2121110,6
2121100,2121111,6
2121100,2131100,6
2121100,2131101,6
2121100,2131110,6
2121100,2131111,6
2121101,2121110,6
2121101,2131100,6
2121101,2131110,6
2121110,2131100,6
2121110,2131101,6
2121111,2130111,6
2121111,2131100,6
2130111,2131111,6
2131100,2131101,6
2131100,2131110,6
2131100,2131111,6
2131101,2131110,6
2211010,2321110,6
2211010,2321111,6
2211011,2321110,6
2211011,2321111,6
2211110,2321110,6
2211110,2321111,6
2211111,2321110,6
2211111,2321111,6
2221000,2221001,6
2221000,2221010,6
2221000,2221011,6
